"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.53363,0.48997,0.49378
0.54355,0.49825,0.50397
0.55495,0.50851,0.51537
0.5658,0.51859,0.52618
0.57549,0.52776,0.53584
0.58394,0.53586,0.54426
0.59124,0.54294,0.55156
0.59756,0.54911,0.55789
0.60304,0.5545,0.56339
0.60781,0.55922,0.56817
0.61198,0.56337,0.57237
0.61565,0.56703,0.57605
0.61888,0.57027,0.5793
0.62174,0.57315,0.58218
0.62428,0.57572,0.58473
0.62654,0.57802,0.58701
0.62856,0.58007,0.58904
0.63038,0.58192,0.59085
0.63201,0.58358,0.59248
0.63347,0.58508,0.59394
0.63479,0.58643,0.59526
0.63598,0.58765,0.59644
0.63706,0.58876,0.5975
0.63803,0.58976,0.59846
0.63891,0.59066,0.59933
0.6397,0.59148,0.6001
0.64043,0.59222,0.6008
0.64108,0.59289,0.60143
0.64167,0.5935,0.602
0.64221,0.59405,0.60251
0.64269,0.59454,0.60296
0.64313,0.59499,0.60337
0.64353,0.59539,0.60374
0.64388,0.59575,0.60406
0.64421,0.59607,0.60435
0.6445,0.59636,0.6046
0.64476,0.59662,0.60483
0.64499,0.59685,0.60502
0.6452,0.59705,0.60519
0.64539,0.59722,0.60534
0.64555,0.59737,0.60546
0.6457,0.5975,0.60556
0.64583,0.59761,0.60565
0.64594,0.5977,0.60571
0.64603,0.59777,0.60576
0.64612,0.59783,0.6058
0.64619,0.59787,0.60582
0.64624,0.5979,0.60583
0.64629,0.59791,0.60583
0.64633,0.59791,0.60582
0.64636,0.59791,0.6058
0.64638,0.59789,0.60577
0.64639,0.59785,0.60573
0.64639,0.59781,0.60568
0.64639,0.59777,0.60563
0.64638,0.59771,0.60556
0.64637,0.59764,0.6055
0.64635,0.59757,0.60542
0.64633,0.59749,0.60534
0.6463,0.5974,0.60526
0.64627,0.59731,0.60517
0.64623,0.59721,0.60508
0.64619,0.59711,0.60499
0.64615,0.597,0.60489
0.64611,0.59688,0.60478
0.64606,0.59677,0.60468
0.64601,0.59664,0.60457
0.64596,0.59651,0.60446
0.6459,0.59638,0.60434
0.64585,0.59624,0.60423
0.64579,0.5961,0.60411
0.64573,0.59596,0.60399
0.64567,0.59581,0.60387
0.64561,0.59565,0.60374
0.64555,0.5955,0.60362
0.64549,0.59534,0.60349
0.64542,0.59518,0.60337
0.64536,0.59501,0.60324
0.64529,0.59485,0.60311
0.64523,0.59468,0.60298
0.64516,0.5945,0.60285
0.6451,0.59433,0.60271
0.64503,0.59415,0.60258
0.64496,0.59396,0.60245
0.6449,0.59378,0.60231
0.64483,0.59359,0.60218
0.64476,0.5934,0.60204
0.6447,0.59321,0.60191
0.64463,0.59302,0.60177
0.64456,0.59282,0.60163
0.6445,0.59262,0.60149
0.64443,0.59242,0.60136
0.64436,0.59222,0.60122
0.6443,0.59201,0.60108
0.64423,0.5918,0.60094
0.64417,0.59159,0.60081
0.6441,0.59138,0.60067
0.64404,0.59117,0.60053
0.64398,0.59095,0.60039
0.64391,0.59073,0.60025
0.64385,0.59051,0.60011
0.64379,0.59028,0.59997
0.64373,0.59006,0.59983
0.64367,0.58983,0.59969
0.6436,0.5896,0.59955
0.64354,0.58937,0.59942
0.64349,0.58913,0.59928
0.64343,0.5889,0.59914
0.64337,0.58866,0.599
0.64331,0.58842,0.59886
0.64325,0.58818,0.59872
0.6432,0.58793,0.59858
0.64314,0.58768,0.59844
0.64309,0.58743,0.5983
0.64303,0.58718,0.59816
0.64298,0.58693,0.59802
0.64293,0.58667,0.59788
0.64287,0.58641,0.59774
0.64282,0.58615,0.59761
0.64277,0.58589,0.59747
0.64272,0.58563,0.59733
0.64267,0.58536,0.59719
0.64262,0.58509,0.59705
0.64257,0.58482,0.59691
0.64253,0.58454,0.59677
0.64248,0.58427,0.59663
0.64243,0.58399,0.5965
0.64239,0.58371,0.59636
0.64235,0.58343,0.59622
0.6423,0.58314,0.59608
0.64226,0.58285,0.59594
0.64222,0.58256,0.5958
0.64218,0.58227,0.59567
0.64214,0.58198,0.59553
0.6421,0.58168,0.59539
0.64206,0.58138,0.59525
0.64202,0.58108,0.59511
0.64198,0.58077,0.59497
0.64195,0.58047,0.59484
0.64191,0.58016,0.5947
0.64188,0.57985,0.59456
0.64184,0.57953,0.59442
0.64181,0.57921,0.59429
0.64178,0.5789,0.59415
0.64175,0.57857,0.59401
0.64172,0.57825,0.59387
0.64169,0.57792,0.59373
0.64166,0.57759,0.5936
0.64163,0.57726,0.59346
0.64161,0.57693,0.59332
0.64158,0.57659,0.59318
0.64156,0.57625,0.59304
0.64153,0.5759,0.59291
0.64151,0.57556,0.59277
0.64149,0.57521,0.59263
0.64147,0.57486,0.59249
0.64144,0.5745,0.59235
0.64143,0.57415,0.59222
0.64141,0.57379,0.59208
0.64139,0.57343,0.59194
0.64137,0.57306,0.5918
0.64136,0.57269,0.59166
0.64134,0.57232,0.59153
0.64133,0.57195,0.59139
0.64131,0.57157,0.59125
0.6413,0.57119,0.59111
0.64129,0.57081,0.59097
0.64128,0.57042,0.59083
0.64127,0.57003,0.59069
0.64126,0.56964,0.59056
0.64126,0.56925,0.59042
0.64125,0.56885,0.59028
0.64124,0.56845,0.59014
0.64124,0.56804,0.59
0.64124,0.56763,0.58986
0.64123,0.56722,0.58972
0.64123,0.56681,0.58958
0.64123,0.56639,0.58944
