"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.51004,0.51613,0.46081
0.51668,0.52038,0.46848
0.52747,0.52937,0.47972
0.53874,0.53927,0.49126
0.54915,0.54862,0.5019
0.55833,0.55697,0.51132
0.56629,0.56427,0.51954
0.57317,0.57061,0.52667
0.57911,0.5761,0.53288
0.58426,0.58088,0.53829
0.58873,0.58504,0.54303
0.59264,0.58868,0.5472
0.59607,0.59187,0.55088
0.59909,0.59468,0.55415
0.60175,0.59717,0.55705
0.6041,0.59936,0.55964
0.60619,0.60131,0.56195
0.60805,0.60304,0.56403
0.6097,0.60458,0.5659
0.61117,0.60594,0.56758
0.61249,0.60716,0.5691
0.61366,0.60825,0.57047
0.6147,0.60922,0.57171
0.61564,0.61008,0.57283
0.61647,0.61084,0.57384
0.61721,0.61152,0.57477
0.61787,0.61212,0.5756
0.61846,0.61265,0.57636
0.61897,0.61312,0.57705
0.61943,0.61353,0.57767
0.61983,0.61388,0.57823
0.62018,0.61419,0.57875
0.62048,0.61446,0.57921
0.62075,0.61468,0.57962
0.62097,0.61487,0.58
0.62115,0.61502,0.58034
0.62131,0.61514,0.58064
0.62143,0.61523,0.58092
0.62153,0.6153,0.58116
0.6216,0.61534,0.58138
0.62165,0.61536,0.58157
0.62167,0.61536,0.58174
0.62168,0.61534,0.58188
0.62166,0.61531,0.58201
0.62163,0.61525,0.58212
0.62159,0.61518,0.58221
0.62152,0.6151,0.58229
0.62145,0.61501,0.58235
0.62136,0.6149,0.5824
0.62126,0.61478,0.58243
0.62115,0.61465,0.58246
0.62103,0.61451,0.58247
0.6209,0.61437,0.58247
0.62076,0.61421,0.58247
0.62062,0.61405,0.58245
0.62046,0.61388,0.58243
0.6203,0.6137,0.5824
0.62013,0.61351,0.58236
0.61996,0.61332,0.58231
0.61978,0.61313,0.58226
0.61959,0.61293,0.58221
0.6194,0.61272,0.58214
0.6192,0.61251,0.58208
0.619,0.6123,0.582
0.6188,0.61208,0.58193
0.61859,0.61186,0.58185
0.61838,0.61164,0.58176
0.61816,0.61141,0.58167
0.61794,0.61118,0.58158
0.61772,0.61094,0.58148
0.61749,0.61071,0.58139
0.61727,0.61047,0.58128
0.61704,0.61023,0.58118
0.6168,0.60998,0.58107
0.61657,0.60973,0.58096
0.61633,0.60949,0.58085
0.61609,0.60924,0.58074
0.61585,0.60898,0.58062
0.61561,0.60873,0.5805
0.61536,0.60847,0.58038
0.61511,0.60822,0.58026
0.61486,0.60796,0.58014
0.61461,0.6077,0.58001
0.61436,0.60744,0.57988
0.61411,0.60717,0.57975
0.61385,0.60691,0.57962
0.6136,0.60664,0.57949
0.61334,0.60637,0.57936
0.61308,0.60611,0.57922
0.61282,0.60584,0.57909
0.61256,0.60556,0.57895
0.61229,0.60529,0.57881
0.61203,0.60502,0.57867
0.61177,0.60475,0.57853
0.6115,0.60447,0.57839
0.61123,0.60419,0.57825
0.61096,0.60392,0.57811
0.61069,0.60364,0.57796
0.61042,0.60336,0.57782
0.61015,0.60308,0.57767
0.60988,0.6028,0.57752
0.6096,0.60252,0.57738
0.60933,0.60223,0.57723
0.60905,0.60195,0.57708
0.60878,0.60166,0.57693
0.6085,0.60138,0.57677
0.60822,0.60109,0.57662
0.60794,0.6008,0.57647
0.60766,0.60051,0.57631
0.60738,0.60022,0.57616
0.6071,0.59993,0.576
0.60681,0.59964,0.57585
0.60653,0.59935,0.57569
0.60624,0.59905,0.57553
0.60596,0.59876,0.57537
0.60567,0.59846,0.57521
0.60538,0.59817,0.57505
0.60509,0.59787,0.57489
0.6048,0.59757,0.57473
0.60451,0.59727,0.57457
0.60422,0.59697,0.57441
0.60393,0.59667,0.57424
0.60363,0.59637,0.57408
0.60334,0.59606,0.57391
0.60304,0.59576,0.57375
0.60275,0.59545,0.57358
0.60245,0.59515,0.57341
0.60215,0.59484,0.57324
0.60185,0.59453,0.57308
0.60155,0.59422,0.57291
0.60125,0.59391,0.57274
0.60094,0.5936,0.57256
0.60064,0.59329,0.57239
0.60033,0.59297,0.57222
0.60003,0.59266,0.57205
0.59972,0.59234,0.57187
0.59941,0.59202,0.5717
0.5991,0.5917,0.57152
0.59879,0.59138,0.57135
0.59848,0.59106,0.57117
0.59817,0.59074,0.571
0.59785,0.59042,0.57082
0.59754,0.59009,0.57064
0.59722,0.58977,0.57046
0.5969,0.58944,0.57028
0.59658,0.58911,0.5701
0.59627,0.58878,0.56992
0.59594,0.58845,0.56973
0.59562,0.58812,0.56955
0.5953,0.58778,0.56937
0.59497,0.58745,0.56918
0.59465,0.58711,0.569
0.59432,0.58677,0.56881
0.59399,0.58643,0.56863
0.59366,0.58609,0.56844
0.59333,0.58575,0.56825
0.593,0.58541,0.56806
0.59267,0.58506,0.56787
0.59233,0.58472,0.56768
