"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.53311,0.52968,0.48723
0.54329,0.53831,0.49769
0.55458,0.54851,0.50905
0.56522,0.55837,0.51971
0.57467,0.56727,0.52918
0.58289,0.5751,0.53744
0.58999,0.58193,0.5446
0.59612,0.58788,0.55079
0.60144,0.59308,0.55617
0.60606,0.59763,0.56086
0.61009,0.60163,0.56496
0.61363,0.60517,0.56856
0.61674,0.6083,0.57173
0.6195,0.61109,0.57454
0.62194,0.61359,0.57702
0.6241,0.61582,0.57923
0.62604,0.61783,0.5812
0.62776,0.61964,0.58296
0.6293,0.62127,0.58453
0.63068,0.62275,0.58594
0.63192,0.62409,0.58719
0.63303,0.62531,0.58832
0.63403,0.62642,0.58933
0.63492,0.62743,0.59023
0.63573,0.62835,0.59104
0.63645,0.62919,0.59176
0.6371,0.62996,0.59241
0.63768,0.63067,0.59299
0.6382,0.63131,0.5935
0.63866,0.63191,0.59395
0.63907,0.63245,0.59435
0.63944,0.63295,0.5947
0.63976,0.6334,0.59501
0.64005,0.63382,0.59528
0.6403,0.63421,0.59551
0.64052,0.63456,0.5957
0.6407,0.63489,0.59587
0.64087,0.63518,0.596
0.641,0.63546,0.59611
0.64112,0.63571,0.5962
0.64121,0.63594,0.59626
0.64128,0.63616,0.5963
0.64133,0.63635,0.59632
0.64137,0.63653,0.59633
0.64139,0.6367,0.59631
0.6414,0.63685,0.59628
0.6414,0.63699,0.59624
0.64138,0.63711,0.59619
0.64135,0.63723,0.59612
0.64131,0.63734,0.59604
0.64127,0.63744,0.59595
0.64121,0.63753,0.59585
0.64114,0.63761,0.59574
0.64107,0.63768,0.59562
0.64099,0.63775,0.59549
0.6409,0.63781,0.59536
0.64081,0.63787,0.59522
0.64071,0.63792,0.59507
0.64061,0.63796,0.59492
0.6405,0.63801,0.59476
0.64039,0.63804,0.5946
0.64027,0.63808,0.59443
0.64015,0.63811,0.59425
0.64002,0.63814,0.59407
0.6399,0.63816,0.59389
0.63976,0.63818,0.5937
0.63963,0.6382,0.59351
0.63949,0.63822,0.59332
0.63935,0.63824,0.59312
0.63921,0.63825,0.59292
0.63907,0.63826,0.59272
0.63892,0.63827,0.59251
0.63877,0.63828,0.5923
0.63863,0.63829,0.59209
0.63847,0.63829,0.59188
0.63832,0.6383,0.59166
0.63817,0.6383,0.59144
0.63801,0.63831,0.59122
0.63786,0.63831,0.591
0.6377,0.63831,0.59078
0.63754,0.63832,0.59055
0.63738,0.63832,0.59032
0.63722,0.63832,0.59009
0.63706,0.63832,0.58986
0.63689,0.63832,0.58963
0.63673,0.63832,0.58939
0.63657,0.63832,0.58916
0.6364,0.63832,0.58892
0.63624,0.63832,0.58868
0.63607,0.63832,0.58844
0.63591,0.63832,0.5882
0.63574,0.63832,0.58795
0.63557,0.63832,0.58771
0.6354,0.63832,0.58746
0.63524,0.63832,0.58721
0.63507,0.63832,0.58697
0.6349,0.63832,0.58672
0.63473,0.63832,0.58647
0.63456,0.63832,0.58621
0.63439,0.63833,0.58596
0.63422,0.63833,0.5857
0.63405,0.63833,0.58545
0.63388,0.63833,0.58519
0.63371,0.63834,0.58493
0.63354,0.63834,0.58467
0.63336,0.63834,0.58441
0.63319,0.63835,0.58415
0.63302,0.63835,0.58389
0.63285,0.63836,0.58362
0.63268,0.63836,0.58336
0.6325,0.63837,0.58309
0.63233,0.63837,0.58282
0.63216,0.63838,0.58255
0.63198,0.63839,0.58228
0.63181,0.6384,0.58201
0.63164,0.63841,0.58174
0.63146,0.63841,0.58147
0.63129,0.63842,0.58119
0.63111,0.63843,0.58091
0.63094,0.63844,0.58064
0.63077,0.63846,0.58036
0.63059,0.63847,0.58008
0.63042,0.63848,0.5798
0.63024,0.63849,0.57952
0.63006,0.63851,0.57923
0.62989,0.63852,0.57895
0.62971,0.63853,0.57866
0.62954,0.63855,0.57837
