"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.5189,0.52797,0.50333
0.5275,0.53437,0.51254
0.53897,0.54418,0.52418
0.5504,0.55435,0.53564
0.56079,0.56375,0.54603
0.56991,0.5721,0.55515
0.57781,0.57939,0.56309
0.58466,0.58573,0.56997
0.59059,0.59126,0.57596
0.59576,0.59608,0.58119
0.60027,0.60031,0.58577
0.60423,0.60403,0.58981
0.60773,0.60731,0.59339
0.61082,0.61023,0.59657
0.61357,0.61283,0.5994
0.61602,0.61514,0.60194
0.61821,0.61722,0.60422
0.62018,0.61908,0.60628
0.62194,0.62076,0.60814
0.62353,0.62227,0.60982
0.62497,0.62363,0.61135
0.62627,0.62487,0.61274
0.62744,0.62599,0.614
0.6285,0.627,0.61516
0.62947,0.62793,0.61622
0.63034,0.62876,0.61719
0.63113,0.62953,0.61808
0.63186,0.63022,0.61889
0.63251,0.63085,0.61964
0.63311,0.63142,0.62033
0.63365,0.63195,0.62097
0.63414,0.63242,0.62156
0.63458,0.63286,0.6221
0.63498,0.63325,0.6226
0.63535,0.63361,0.62307
0.63568,0.63393,0.6235
0.63598,0.63423,0.6239
0.63625,0.63449,0.62427
0.63649,0.63473,0.62461
0.6367,0.63495,0.62493
0.6369,0.63515,0.62523
0.63707,0.63532,0.6255
0.63722,0.63548,0.62576
0.63736,0.63562,0.626
0.63747,0.63575,0.62623
0.63758,0.63586,0.62644
0.63766,0.63596,0.62664
0.63774,0.63604,0.62682
0.6378,0.63612,0.62699
0.63785,0.63618,0.62716
0.63789,0.63623,0.62731
0.63792,0.63628,0.62746
0.63794,0.63631,0.62759
0.63795,0.63634,0.62772
0.63796,0.63636,0.62784
0.63795,0.63638,0.62796
0.63794,0.63638,0.62807
0.63793,0.63638,0.62817
0.63791,0.63638,0.62827
0.63788,0.63637,0.62837
0.63784,0.63636,0.62846
0.63781,0.63634,0.62855
0.63776,0.63632,0.62863
0.63772,0.6363,0.62872
0.63766,0.63627,0.62879
0.63761,0.63624,0.62887
0.63755,0.6362,0.62895
0.63749,0.63616,0.62902
0.63742,0.63612,0.62909
0.63736,0.63608,0.62916
0.63729,0.63604,0.62922
0.63721,0.63599,0.62929
0.63714,0.63594,0.62935
0.63706,0.63589,0.62942
0.63698,0.63584,0.62948
0.6369,0.63578,0.62954
0.63681,0.63573,0.62961
0.63673,0.63567,0.62967
0.63664,0.63561,0.62973
0.63655,0.63555,0.62979
0.63646,0.63549,0.62985
0.63637,0.63543,0.62991
0.63628,0.63537,0.62997
0.63618,0.6353,0.63003
0.63608,0.63524,0.63009
0.63599,0.63517,0.63015
0.63589,0.63511,0.63021
0.63579,0.63504,0.63027
0.63569,0.63497,0.63033
0.63558,0.6349,0.6304
0.63548,0.63483,0.63046
0.63538,0.63476,0.63052
0.63527,0.63469,0.63059
0.63517,0.63462,0.63065
0.63506,0.63455,0.63071
0.63495,0.63448,0.63078
0.63484,0.63441,0.63085
0.63473,0.63433,0.63091
0.63462,0.63426,0.63098
0.63451,0.63419,0.63105
0.6344,0.63411,0.63112
0.63429,0.63404,0.63119
0.63417,0.63397,0.63126
0.63406,0.63389,0.63133
0.63394,0.63381,0.6314
0.63383,0.63374,0.63147
0.63371,0.63366,0.63155
