"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.51768,0.51181,0.47194
0.52371,0.51483,0.47892
0.53457,0.52336,0.49013
0.54618,0.53314,0.50189
0.55698,0.54248,0.51281
0.56654,0.55086,0.5225
0.57487,0.55819,0.53096
0.58207,0.56455,0.53831
0.58832,0.57006,0.54471
0.59374,0.57484,0.55029
0.59848,0.57899,0.55519
0.60263,0.58262,0.5595
0.60628,0.58579,0.56331
0.60952,0.58857,0.56669
0.61239,0.59101,0.56971
0.61495,0.59317,0.5724
0.61723,0.59507,0.57482
0.61928,0.59675,0.577
0.62112,0.59824,0.57896
0.62278,0.59956,0.58074
0.62427,0.60072,0.58235
0.62562,0.60175,0.58381
0.62685,0.60265,0.58513
0.62796,0.60345,0.58634
0.62896,0.60415,0.58745
0.62988,0.60477,0.58845
0.63071,0.6053,0.58938
0.63146,0.60576,0.59022
0.63215,0.60616,0.59099
0.63278,0.6065,0.5917
0.63335,0.60678,0.59235
0.63387,0.60702,0.59295
0.63434,0.60721,0.59349
0.63477,0.60736,0.594
0.63516,0.60747,0.59446
0.63552,0.60754,0.59488
0.63584,0.60759,0.59527
0.63614,0.6076,0.59563
0.6364,0.60759,0.59596
0.63664,0.60755,0.59627
0.63686,0.60748,0.59654
0.63706,0.6074,0.5968
0.63724,0.6073,0.59704
0.63739,0.60717,0.59725
0.63754,0.60704,0.59745
0.63766,0.60688,0.59763
0.63778,0.60671,0.5978
0.63788,0.60653,0.59795
0.63796,0.60633,0.59809
0.63804,0.60612,0.59822
0.6381,0.6059,0.59834
0.63816,0.60567,0.59845
0.63821,0.60543,0.59854
0.63825,0.60518,0.59863
0.63828,0.60492,0.59871
0.6383,0.60465,0.59878
0.63832,0.60437,0.59885
0.63834,0.60409,0.59891
0.63834,0.6038,0.59896
0.63835,0.60351,0.59901
0.63834,0.60321,0.59905
0.63834,0.6029,0.59909
0.63832,0.60258,0.59912
0.63831,0.60227,0.59915
0.63829,0.60194,0.59918
0.63827,0.60162,0.5992
0.63825,0.60128,0.59922
0.63822,0.60095,0.59923
0.63819,0.60061,0.59924
0.63816,0.60026,0.59925
0.63813,0.59991,0.59926
0.63809,0.59956,0.59926
