"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.51604,0.52634,0.46515
0.52552,0.53402,0.47487
0.53695,0.54412,0.48623
0.54802,0.55421,0.49718
0.55797,0.56342,0.50702
0.56668,0.57157,0.51565
0.57423,0.57869,0.52315
0.58076,0.5849,0.52965
0.58643,0.59031,0.53531
0.59137,0.59505,0.54023
0.59569,0.59922,0.54455
0.59948,0.6029,0.54834
0.60283,0.60617,0.55168
0.60579,0.60907,0.55463
0.60842,0.61167,0.55725
0.61076,0.61399,0.55958
0.61285,0.61608,0.56166
0.61473,0.61796,0.56352
0.61641,0.61966,0.56518
0.61792,0.62121,0.56666
0.61928,0.6226,0.56799
0.62051,0.62388,0.56918
0.62162,0.62503,0.57025
0.62262,0.62609,0.57121
0.62352,0.62706,0.57207
0.62434,0.62794,0.57284
0.62508,0.62875,0.57353
0.62575,0.62949,0.57414
0.62635,0.63017,0.57469
0.6269,0.6308,0.57517
0.62739,0.63138,0.5756
0.62783,0.63191,0.57598
0.62823,0.63239,0.57631
0.62859,0.63284,0.5766
0.62891,0.63326,0.57684
0.6292,0.63364,0.57706
0.62945,0.634,0.57724
0.62968,0.63432,0.57738
0.62988,0.63462,0.5775
0.63006,0.6349,0.57759
0.63021,0.63516,0.57766
0.63034,0.6354,0.57771
0.63045,0.63562,0.57773
0.63055,0.63583,0.57774
0.63063,0.63602,0.57773
0.63069,0.6362,0.5777
0.63074,0.63636,0.57765
0.63078,0.63651,0.57759
0.63081,0.63666,0.57752
0.63082,0.63679,0.57743
0.63082,0.63691,0.57733
0.63082,0.63703,0.57722
0.6308,0.63713,0.5771
0.63078,0.63723,0.57697
0.63075,0.63733,0.57684
0.63071,0.63741,0.57669
0.63067,0.6375,0.57653
0.63062,0.63757,0.57637
0.63056,0.63764,0.5762
0.6305,0.63771,0.57602
0.63043,0.63778,0.57584
0.63036,0.63784,0.57565
0.63029,0.63789,0.57545
0.63021,0.63795,0.57525
0.63013,0.638,0.57505
0.63004,0.63805,0.57484
0.62995,0.6381,0.57462
0.62986,0.63814,0.5744
0.62976,0.63818,0.57418
0.62966,0.63822,0.57395
0.62956,0.63826,0.57371
0.62946,0.6383,0.57348
0.62935,0.63834,0.57324
0.62924,0.63838,0.57299
0.62913,0.63841,0.57275
0.62902,0.63845,0.5725
0.62891,0.63848,0.57224
0.62879,0.63851,0.57198
0.62868,0.63855,0.57172
0.62856,0.63858,0.57146
0.62844,0.63861,0.5712
0.62832,0.63864,0.57093
0.6282,0.63867,0.57066
0.62808,0.63871,0.57038
0.62795,0.63874,0.57011
0.62783,0.63877,0.56983
0.6277,0.6388,0.56955
0.62758,0.63883,0.56926
0.62745,0.63887,0.56897
0.62732,0.6389,0.56868
0.62719,0.63893,0.56839
0.62706,0.63896,0.5681
0.62693,0.639,0.5678
0.6268,0.63903,0.5675
0.62667,0.63907,0.5672
0.62654,0.6391,0.5669
0.62641,0.63914,0.56659
0.62627,0.63917,0.56629
0.62614,0.63921,0.56598
0.626,0.63925,0.56566
0.62587,0.63928,0.56535
0.62573,0.63932,0.56503
0.6256,0.63936,0.56471
0.62546,0.6394,0.56439
0.62532,0.63944,0.56407
0.62518,0.63948,0.56374
0.62505,0.63952,0.56341
