"HiddenUnit1Encoding,","HiddenUnit2Encoding,","HiddenUnit3Encoding,"
0.51049,0.50268,0.48854
0.51964,0.50922,0.498
0.53121,0.51874,0.5095
0.54259,0.52849,0.52071
0.55288,0.53747,0.53084
0.56193,0.54543,0.53974
0.56978,0.55236,0.54747
0.5766,0.55838,0.55419
0.58252,0.56361,0.56004
0.58769,0.56816,0.56514
0.59222,0.57212,0.56962
0.59621,0.57559,0.57357
0.59973,0.57864,0.57706
0.60286,0.58132,0.58016
0.60565,0.58368,0.58292
0.60814,0.58578,0.58539
0.61038,0.58763,0.58761
0.61239,0.58927,0.5896
0.61421,0.59072,0.5914
0.61585,0.59201,0.59302
0.61733,0.59316,0.59449
0.61868,0.59418,0.59582
0.6199,0.59507,0.59703
0.62101,0.59587,0.59813
0.62203,0.59657,0.59913
0.62295,0.59718,0.60004
0.6238,0.59772,0.60087
0.62457,0.59819,0.60163
0.62528,0.5986,0.60232
0.62592,0.59894,0.60296
0.62652,0.59924,0.60354
0.62706,0.59949,0.60407
0.62755,0.59969,0.60455
0.62801,0.59985,0.60499
0.62843,0.59997,0.6054
0.62881,0.60006,0.60577
0.62916,0.60012,0.60611
0.62948,0.60015,0.60642
0.62977,0.60015,0.6067
0.63004,0.60013,0.60696
0.63029,0.60009,0.6072
0.63051,0.60002,0.60741
0.63072,0.59993,0.60761
0.6309,0.59983,0.60779
0.63107,0.5997,0.60795
0.63123,0.59957,0.6081
0.63137,0.59941,0.60823
0.6315,0.59924,0.60836
0.63162,0.59906,0.60847
0.63172,0.59887,0.60857
0.63182,0.59867,0.60865
0.6319,0.59845,0.60874
0.63198,0.59823,0.60881
0.63204,0.59799,0.60887
0.6321,0.59775,0.60893
0.63216,0.5975,0.60898
0.6322,0.59724,0.60902
0.63224,0.59697,0.60906
0.63228,0.59669,0.6091
0.63231,0.59641,0.60912
0.63233,0.59612,0.60915
0.63235,0.59583,0.60917
0.63237,0.59553,0.60919
0.63238,0.59523,0.6092
0.63239,0.59492,0.60921
0.63239,0.5946,0.60922
0.63239,0.59428,0.60923
0.63239,0.59395,0.60923
0.63239,0.59362,0.60923
0.63238,0.59329,0.60923
0.63238,0.59295,0.60923
0.63237,0.59261,0.60922
0.63235,0.59227,0.60922
0.63234,0.59192,0.60921
0.63232,0.59156,0.6092
0.63231,0.59121,0.60919
0.63229,0.59085,0.60918
0.63227,0.59048,0.60917
0.63224,0.59011,0.60916
0.63222,0.58974,0.60915
0.6322,0.58937,0.60914
0.63217,0.58899,0.60913
0.63215,0.58861,0.60912
0.63212,0.58823,0.6091
0.6321,0.58785,0.60909
0.63207,0.58746,0.60908
0.63204,0.58706,0.60906
0.63201,0.58667,0.60905
0.63198,0.58627,0.60904
0.63195,0.58587,0.60903
0.63192,0.58547,0.60901
0.63189,0.58506,0.609
0.63186,0.58465,0.60899
0.63183,0.58424,0.60898
0.6318,0.58383,0.60897
0.63177,0.58341,0.60896
0.63173,0.58299,0.60895
0.6317,0.58256,0.60894
0.63167,0.58214,0.60893
0.63164,0.58171,0.60892
0.63161,0.58128,0.60891
0.63157,0.58084,0.6089
0.63154,0.58041,0.6089
0.63151,0.57996,0.60889
0.63148,0.57952,0.60888
0.63144,0.57908,0.60888
0.63141,0.57863,0.60887
0.63138,0.57817,0.60887
0.63135,0.57772,0.60887
0.63131,0.57726,0.60886
0.63128,0.5768,0.60886
0.63125,0.57634,0.60886
0.63122,0.57587,0.60886
0.63119,0.5754,0.60886
0.63115,0.57493,0.60886
0.63112,0.57445,0.60886
0.63109,0.57397,0.60887
0.63106,0.57349,0.60887
0.63103,0.573,0.60888
0.631,0.57252,0.60888
0.63097,0.57202,0.60889
0.63094,0.57153,0.60889
0.63091,0.57103,0.6089
0.63088,0.57053,0.60891
0.63085,0.57002,0.60892
0.63082,0.56951,0.60893
0.63079,0.569,0.60894
0.63076,0.56849,0.60895
0.63073,0.56797,0.60897
0.6307,0.56745,0.60898
0.63067,0.56692,0.609
0.63065,0.56639,0.60901
0.63062,0.56586,0.60903
0.63059,0.56532,0.60905
0.63057,0.56478,0.60907
0.63054,0.56424,0.60909
0.63051,0.56369,0.60911
0.63049,0.56314,0.60913
0.63046,0.56259,0.60915
0.63043,0.56203,0.60918
0.63041,0.56147,0.6092
0.63038,0.5609,0.60923
0.63036,0.56033,0.60925
0.63034,0.55976,0.60928
0.63031,0.55918,0.60931
0.63029,0.5586,0.60934
0.63027,0.55801,0.60937
0.63024,0.55742,0.60941
0.63022,0.55683,0.60944
0.6302,0.55623,0.60947
0.63018,0.55562,0.60951
0.63016,0.55502,0.60954
0.63013,0.55441,0.60958
0.63011,0.55379,0.60962
0.63009,0.55317,0.60966
0.63007,0.55255,0.6097
0.63005,0.55192,0.60974
0.63004,0.55128,0.60979
0.63002,0.55065,0.60983
0.63,0.55,0.60987
0.62998,0.54936,0.60992
0.62996,0.5487,0.60997
0.62995,0.54805,0.61002
0.62993,0.54739,0.61007
0.62991,0.54672,0.61012
0.6299,0.54605,0.61017
0.62988,0.54537,0.61022
0.62987,0.54469,0.61028
0.62986,0.54401,0.61033
0.62984,0.54331,0.61039
0.62983,0.54262,0.61045
0.62981,0.54192,0.61051
0.6298,0.54121,0.61057
0.62979,0.5405,0.61063
0.62978,0.53978,0.61069
0.62977,0.53906,0.61076
0.62976,0.53833,0.61082
0.62975,0.5376,0.61089
0.62974,0.53686,0.61096
0.62973,0.53612,0.61103
0.62972,0.53537,0.6111
0.62971,0.53461,0.61117
0.6297,0.53385,0.61124
0.6297,0.53308,0.61132
0.62969,0.53231,0.61139
0.62968,0.53153,0.61147
0.62968,0.53075,0.61155
0.62967,0.52996,0.61163
0.62967,0.52916,0.61171
0.62966,0.52836,0.61179
0.62966,0.52755,0.61187
0.62965,0.52674,0.61196
0.62965,0.52592,0.61205
0.62965,0.52509,0.61213
0.62965,0.52426,0.61222
0.62965,0.52342,0.61231
0.62965,0.52257,0.6124
0.62964,0.52172,0.6125
0.62965,0.52086,0.61259
0.62965,0.51999,0.61269
0.62965,0.51912,0.61279
0.62965,0.51824,0.61288
0.62965,0.51736,0.61298
0.62965,0.51646,0.61309
0.62966,0.51556,0.61319
0.62966,0.51466,0.61329
